Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dify docs,"Navigational, Transactional",170,"0.05,0.02,0.04,0.19,0.54,0.19,1.00,0.02,0.02,0.02,0.02,0.02",26,0.00,0.33,"Video, Video carousel, Related searches",121
dify github stars,"Informational, Transactional",170,"0.00,0.00,0.00,0.00,1.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01",40,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",150
dify rag,"Informational, Navigational",140,"0.44,0.54,0.02,0.02,0.02,0.02,1.00,0.23,0.02,0.02,0.02,0.02",22,3.97,0.10,"Image, Video, Video carousel, Related searches",1660000
dify speech to text,Informational,140,"1.00,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",9,0.00,0.03,"Sitelinks, Video, Related searches",72200
dify 部署,"Informational, Transactional",140,"1.00,0.35,0.01,0.15,0.11,0.28,0.15,0.08,0.00,0.28,0.35,0.11",21,0.00,0.00,"Image pack, Video, Related searches",1440000
difis,Informational,110,"0.54,1.00,0.54,0.62,0.23,0.38,0.15,0.15,0.08,0.15,0.08,0.15",20,9.44,0.01,"AI Overview, Video, People also ask, Related searches",85800
dify battery reviews,"Informational, Commercial",110,"0.03,0.03,0.03,0.03,1.00,0.15,0.15,0.11,0.23,0.18,0.11,0.18",13,8.92,0.18,"Sitelinks, AI Overview, Video, Related searches",
dify marketplace,Navigational,110,"0.01,0.02,0.02,0.02,0.02,0.05,1.00,0.17,0.02,0.02,0.02,0.02",28,5.79,0.06,"Sitelinks, Video, Video carousel, Related searches",
dify vs n8n,"Informational, Commercial",110,"0.29,0.41,0.64,0.82,1.00,1.00,1.00,1.00,0.64,0.41,0.52,1.00",8,9.76,0.18,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",465000
dify workflow,Informational,110,"0.66,0.81,0.22,0.04,0.14,0.04,0.04,0.04,1.00,0.04,0.04,0.00",19,4.87,0.32,"Sitelinks, Image pack, Video, Video carousel, Related searches",536000
dify 官网,"Navigational, Transactional",110,"1.00,0.01,0.03,0.05,0.05,0.15,0.05,0.03,0.11,0.03,0.54,0.54",52,0.00,0.01,"Sitelinks, Related searches",797000
dify 教程,Informational,110,"0.34,1.00,0.65,0.42,0.34,0.53,0.53,0.15,0.11,0.03,0.26,0.80",23,0.00,0.00,"Video, Video carousel, Related searches",1100000
dify 是 什么,"Informational, Navigational",110,"0.34,0.34,0.28,0.43,0.43,0.28,0.21,0.34,0.34,0.28,0.43,1.00",20,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",
n8n vs dify,"Informational, Commercial",110,"0.15,1.00,1.00,0.34,0.65,0.34,0.06,0.06,0.06,0.06,0.06,0.06",13,5.72,0.17,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",474000
a man who difies the world of bl,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",36,1.49,0.03,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, See results about",800000
difi arizona,Navigational,90,"0.41,0.41,0.52,0.52,0.52,0.41,0.52,0.52,1.00,0.64,0.64,1.00",41,0.00,0.01,"Sitelinks, Knowledge panel, Related searches",585000
difiaba color,Transactional,90,"0.19,0.19,0.19,0.33,0.53,0.53,0.53,1.00,0.53,0.43,0.53,0.24",8,0.92,0.87,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Ads top, Ads bottom",297000
dify agent,Navigational,90,"0.28,0.66,0.05,0.05,1.00,0.05,0.05,0.05,0.12,0.12,0.05,0.05",28,4.21,0.31,"Sitelinks, Image, Video, Video carousel, Related searches",1820000
dify sandbox,Informational,90,"0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",13,0.00,0.33,"Video, Related searches",32900
dify 本地 部署,Informational,90,"1.00,1.00,0.52,1.00,0.42,0.42,0.00,0.00,0.00,0.00,0.19,0.42",11,0.00,0.00,"Video, Related searches",1200000
dify 知识库,"Informational, Transactional",90,"0.82,1.00,0.35,0.05,0.05,0.02,0.05,0.05,0.05,0.05,0.05,0.28",13,0.00,0.33,"Video, Video carousel, People also ask, Related searches",88
what is dify,Informational,90,"0.00,0.23,0.28,0.12,0.17,0.43,0.43,0.28,0.23,0.00,0.43,1.00",31,0.00,0.00,"AI Overview, Video, People also ask, Related searches",102
周宇 dify,,90,"0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,1.00",,0.00,0.33,,
difi hair product,Commercial,70,"0.81,0.81,0.81,0.63,0.37,0.63,0.63,0.63,0.63,0.81,1.00,1.00",13,1.28,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",197000
difi hair products,Commercial,70,"1.00,1.00,0.81,0.81,0.27,0.18,0.81,0.63,0.81,0.81,0.18,1.00",0,0.52,1.00,"Sitelinks, Image, Video, Related searches, Popular products",24700
difiaba decolorante,Informational,70,"0.27,0.18,0.45,1.00,1.00,0.82,0.82,0.45,0.45,0.18,0.18,0.18",18,0.32,1.00,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",43500
difiaba hair color,"Informational, Transactional",70,"0.82,1.00,1.00,0.64,0.64,0.82,0.64,0.64,0.64,0.45,0.64,0.82",4,0.38,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products",220
dify logo,Navigational,70,"0.18,0.04,0.08,0.04,1.00,0.04,0.06,0.04,0.04,0.04,0.04,0.08",21,0.00,0.33,"Sitelinks, Image, Image pack, Video, Related searches",1600000
dify on wechat,Informational,70,"0.53,0.65,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",10,0.00,0.33,"Video, Related searches",104000
dify 使い方,Informational,70,"0.19,0.19,0.34,1.00,0.53,0.19,0.19,0.19,0.07,0.07,0.11,0.07",8,0.00,0.33,"Sitelinks, Video, Related searches",635000
dify 安装,Informational,70,"0.53,0.53,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05",20,0.00,0.33,"AI Overview, Video, Related searches",106
dify 小红书,Informational,70,"1.00,0.11,0.23,0.11,0.41,0.82,1.00,0.64,0.11,0.11,0.00,0.00",12,0.00,0.33,"Sitelinks, Video, Related searches",75
dify 文档,"Navigational, Transactional",70,"0.07,1.00,0.07,0.80,0.07,0.42,0.07,0.07,0.07,0.07,0.07,0.65",15,0.00,0.33,"Video, Related searches",1680000
decolorante difiaba,Informational,50,"0.10,0.10,0.30,1.00,0.60,0.80,0.30,0.20,0.20,0.10,0.10,0.10",18,0.12,1.00,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",43400
difi wallet,Informational,50,"0.00,0.04,0.07,1.00,0.00,0.07,0.00,0.11,0.42,0.26,0.42,0.26",50,3.98,0.41,"AI Overview, Image pack, Video, Related searches, Things to know",17100000
dify ai news today,"Informational, Transactional",50,"1.00,0.00,0.00",14,0.00,0.00,"AI Overview, Video, Related searches",
dify ai tutorial,Informational,50,"0.13,0.13,0.50,0.13,0.63,0.13,0.50,1.00,0.13,0.13,0.13,0.13",32,1.60,0.40,"Sitelinks, Video, Video carousel, People also ask, Related searches",62200
dify battery - mobile car battery replacement,,50,"0.11,0.11,0.23,0.11,0.11,0.82,1.00,0.11,0.11,0.64,0.52,0.11",,3.65,0.33,,
dify cloud,"Navigational, Transactional",50,"0.06,1.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",50,4.21,0.16,"Video, Video carousel, People also ask, Related searches",1710000
dify deepseek,Navigational,50,"1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",13,0.00,0.33,"Image, Video, Related searches",1240000
dify education,,50,"0.00,0.00,0.00,0.02,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.04",,0.00,0.01,,
dify meaning,Informational,50,"0.41,0.41,0.29,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",43,0.00,0.33,"AI Overview, Video, Related searches",270000
dify outlook,,50,"0.00,1.00,0.64,0.28,0.00,0.14,1.00,0.14,0.14,1.00,0.14,0.14",,0.00,0.33,,
dify pro,,50,"0.09,0.19,0.52,0.42,0.09,0.00,0.09,0.09,0.09,0.09,1.00,0.09",,0.00,0.33,,
dify speech to text is not enabled,Informational,50,"0.35,0.14,0.14,1.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",13,0.00,0.33,"AI Overview, Discussions and forums, Related searches",53
dify templates,,50,"0.14,0.14,1.00,0.64,0.14,0.50,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
dify 使用,Informational,50,"0.80,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",17,0.00,0.33,"Sitelinks, AI Overview, Video, Related searches",1900000
dify 周宇,,50,"0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00",,0.00,0.33,,
dify 知识库优化,Informational,50,"1.00,0.17,0.02,0.02,0.02,0.02,0.05,0.02,0.05,0.00,0.02,0.02",6,0.00,0.00,"Video, Related searches",866000
dify 读音,Informational,50,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18",14,0.00,0.33,"AI Overview, Image pack, Related searches",706
how to use dify,Informational,50,"0.11,0.11,0.52,1.00,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11",29,0.00,0.03,"Sitelinks, Video, Video carousel, People also ask, Discussions and forums, Related searches",1940000
周宇 dify.ai,,50,1.00,,0.00,0.00,,
dicky difie,"Informational, Transactional",40,"0.07,0.26,0.03,0.07,0.07,0.07,0.07,0.07,0.07,1.00,0.07,0.07",26,0.00,0.33,"Image, Video, Video carousel, Short videos, Knowledge panel, Related searches",
dify 101,Navigational,40,"1.00,0.18,0.36,0.36,0.00,0.64,0.18,0.18,0.18,0.18,0.18,0.18",9,0.00,0.07,"Sitelinks, Image, Video, Video carousel, Related searches",269000
dify ai agent,Navigational,40,"0.22,0.56,0.22,0.22,0.22,0.22,0.44,1.00,0.22,0.22,0.00,0.22",35,5.11,0.37,"Sitelinks, Video, Video carousel, People also ask, Related searches",2330000
dify base64,"Informational, Transactional",40,"0.00,0.36,0.00,0.36,0.81,0.18,1.00,0.18,1.00,0.18,0.00,0.18",9,0.00,0.00,"Sitelinks, AI Overview, Related searches",11300
dify code execution,,40,"0.00,0.14,1.00,0.50,1.00,0.14,0.00,0.00,0.14,0.00,0.14,0.14",,0.00,0.33,,
dify default password,,40,"0.00,0.11,0.11,0.11,0.23,0.11,0.82,0.11,0.00,1.00,0.11,0.11",,0.00,0.33,,
dify docker 部署,"Informational, Transactional",40,"1.00,1.00,0.45,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",17,0.00,0.33,"Sitelinks, Video",570000
dify dsl 文件,Informational,40,"1.00,0.78,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13",11,0.00,0.33,Video,13200
dify electrical contracting,Informational,40,"1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18",16,0.00,0.05,"Knowledge panel, Related searches",
dify gemini,"Navigational, Transactional",40,"0.11,0.23,0.52,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11",9,0.00,0.01,"Video, Related searches",776000
dify help,Navigational,40,"0.21,1.00,0.44,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21",26,0.00,0.33,"Video, Video carousel, Related searches",123
dify n8n,Informational,40,"0.06,0.06,0.06,0.06,0.09,1.00,0.06,0.06,0.06,0.06,0.06,0.06",8,0.00,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",481000
dify openapi,Informational,40,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",23,0.00,0.33,"Sitelinks, Video, People also ask, Related searches",27700
dify plugin,"Navigational, Transactional",40,"0.09,1.00,0.33,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",28,0.00,0.33,"Sitelinks, Video, Related searches",267000
dify plugin daemon,Informational,40,"1.00,0.50,0.14,0.14,0.14,0.78,0.14,0.14,0.14,0.14,0.14,0.14",20,0.00,0.33,Related searches,7620
dify rag workflow,Informational,40,"0.00,0.64,0.64,0.00,0.11,0.11,1.00,0.11,0.11,0.00,0.11,0.11",22,0.00,0.93,"Sitelinks, AI Overview, Video, Video carousel, Related searches",119
dify ragflow,Informational,40,"0.13,1.00,0.28,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13",11,0.00,0.33,"Image, Video, Related searches",152000
dify unstructured,"Navigational, Transactional",40,"0.11,1.00,0.11,0.00,0.52,0.11,0.11,0.00,0.23,0.11,0.00,0.11",13,0.00,0.00,"Sitelinks, Video, Related searches",8180
dify 公司,,40,"0.11,0.41,0.29,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00",,0.00,0.33,,
dify 怎么 使用,,40,"0.64,0.14,0.14,1.00,0.50,0.14,0.14,0.50,0.28,0.14,0.14,0.14",,0.00,0.33,,
dify 怎么读,,40,"0.29,0.41,0.23,0.11,0.11,0.11,1.00,0.11,0.29,0.11,0.11,0.11",,0.00,0.33,,
dify 是什么,Informational,40,"0.03,1.00,0.07,0.00,0.03,0.03,0.00,0.00,0.34,0.00,0.42,0.00",,0.00,0.00,"AI Overview, Video, People also ask, Related searches",1880000
dify 长期记忆,,40,"0.00,0.64,0.00,0.14,0.28,1.00,0.14,0.00,0.14,0.50,0.14,0.14",,0.00,0.33,,
hyalogy re-dify cream,,40,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.52,1.00,0.11,0.11",,2.28,0.99,,
open webui vs dify,Commercial,40,"0.14,1.00,0.64,0.50,0.28,0.14,0.14,0.14,0.14,0.00,0.00,0.14",6,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",54700
python dify,Informational,40,"0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.00,0.00,0.50,0.50",15,0.00,0.00,"Video, Video carousel, Related searches",1730000
ragflow dify,Commercial,40,"1.00,0.37,0.79,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37",10,0.00,0.33,"Sitelinks, Image, Video, Related searches",186000
what is dify platform,,40,1.00,,0.00,0.00,,
cloud dify ai,,30,"0.28,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,7.92,0.86,,
cloud.dify,,30,"0.18,0.18,0.36,0.18,0.36,0.18,0.18,0.18,1.00,0.18,0.18,0.18",,5.69,0.30,,
coze vs dify,,30,"0.18,0.18,0.18,0.36,0.36,1.00,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
decolorante difiaba carbon activado,,30,"0.29,0.29,0.57,1.00,1.00,0.29,0.71,0.43,0.29,0.29,0.29,0.29",,0.00,0.99,,
difi consortium,,30,"0.56,1.00,0.70,0.42,0.56,0.00,0.00,0.00,0.00,0.28,0.28,0.42",,0.00,0.33,,
difi full form,,30,"0.00,0.00,1.00,0.64,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.00",,0.00,0.00,,
difi meaning,,30,"0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.36,0.27,0.36,0.36",,0.00,0.33,,
difi stock,,30,"0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13",,0.00,0.33,,
difiaba sun veil,"Informational, Transactional",30,"1.00,0.50,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",4,1.22,1.00,"Sitelinks, Image, Image pack, Video, Related searches",2500
dified,,30,"0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.09,0.76,0.76,1.00",,0.52,0.05,,
difier,,30,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",,0.45,0.75,,
difier r1280t,,30,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.33,0.98,,
difis for kids,,30,"0.42,0.28,0.14,1.00,0.42,0.14",,0.00,0.00,,
dify agentic rag,,30,"1.00,0.28,0.28,0.28,0.28,0.57,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.24,,
dify ai logo,,30,"0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
dify ai pricing,,30,"0.27,0.27,1.00,0.27,1.00,0.27,0.27,0.27,1.00,0.27,0.27,0.27",,0.00,0.33,,
dify ai 是 什么,,30,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
dify alternative open source,,30,"1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.14,,
dify api 文档,,30,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
dify aws marketplace,,30,"0.78,0.22,0.44,1.00,0.22,0.22,0.22,0.22,0.00,0.22,0.00,0.22",,0.00,0.33,,
dify chat history,,30,"1.00,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28",,0.00,0.33,,
dify chat memory,,30,"1.00,0.14,0.14,0.28,0.14,0.00,0.14,0.00,0.00,0.14,0.14,0.14",,0.00,0.33,,
dify dsl file,,30,"0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.33,,
dify dsl github,,30,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.14",,0.00,0.00,,
dify echarts,,30,"0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.00,1.00,0.14,0.14",,0.00,0.33,,
dify example,,30,"0.18,0.63,1.00,0.36,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.00",,0.00,0.33,,
dify ffmpeg,,30,"0.00,0.14,1.00,0.64,0.14,0.14,0.14,0.14,0.00,0.00,0.14,0.14",,0.00,0.33,,
dify framework,,30,"0.22,0.22,1.00,0.22,0.22,0.77,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.33,,
dify java sdk,,30,"1.00,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50",,0.00,0.33,,
dify javascript,,30,"1.00,0.00,1.00,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
dify kubernetes,,30,"0.00,0.00,0.00,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.19,,
dify ldap,,30,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.00",,0.00,0.00,,
dify ldap support,,30,1.00,,0.00,0.00,,
dify mcp server,,30,"1.00,1.00,0.45,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.02,,
dify milvus,,30,"0.14,0.42,1.00,0.42,0.14,0.57,0.42,0.28,0.28,0.28,0.28,0.28",,0.00,0.33,,
dify openai api compatible,,30,"1.00,0.14,0.14,0.14,0.14,0.14,0.28,0.14,0.14,0.14,0.00,0.14",,0.00,0.33,,
dify pip install,,30,"0.00,1.00,0.18,0.36,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18",,0.00,0.33,,
dify ppt,,30,"1.00,0.14,0.42,0.14,0.28,1.00,0.14,0.28,0.28,0.28,0.28,0.28",,0.00,0.02,,
dify security,,30,"1.00,0.27,0.27,0.27,0.56,0.56,0.27,0.27,0.00,0.27,0.27,0.27",,0.00,0.33,,
dify training,,30,"0.00,0.00,1.00,0.18,0.63,0.18,0.36,0.36,0.18,0.18,0.00,0.18",,0.00,0.00,,
dify voice agent,,30,"0.00,0.00,0.00,1.00,0.11,0.00,0.11,0.41,0.11,0.11,0.00,0.11",,0.00,0.00,,
dify vs langchain,,30,"0.29,0.29,0.29,0.71,0.29,1.00,0.29,0.29,0.29,0.29,0.29,0.29",,0.00,0.13,,
dify vs n8n vs flowise,,30,"0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.14,0.14,1.00,0.28,0.14",,0.00,0.33,,
dify とは,,30,"0.18,1.00,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.18,0.18",,0.00,0.33,,
dify 和 n8n,,30,"0.00,0.11,1.00,0.41,0.23,0.11,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.33,,
dify 多 租户,,30,"0.57,0.57,0.28,0.28,0.28,0.57,1.00,0.28,0.28,0.28,0.28,0.28",,0.00,0.33,,
dify 小 红 书,,30,"0.44,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.33,,
dify 工作 流,,30,"0.80,1.00,0.40,0.60,0.60,1.00,0.80,0.80,0.00,0.00,0.40,0.60",,0.00,0.01,,
dify 插件,,30,"0.07,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
dify 是 哪个 公司 的,,30,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.00",,0.00,0.33,,
dify 架构,,30,"0.28,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.33,,
dify 爬虫,,30,"0.14,1.00,0.35,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.33,,
difying gravity,,30,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.90,0.03,,
mem0 dify,,30,"0.00,0.00,0.11,0.11,0.00,1.00,0.11,0.11,0.00,0.11,0.11,0.11",,0.00,0.33,,
